id,date,time,A,B,C,D,E,F,G,H
111261,1/1/2022,0:00:22,0,0,0,0,0,0,0,0
111262,1/1/2022,0:10:00,1976,756,2034,758,1633,758,11936,1475
111263,1/1/2022,0:20:00,1978,756,2034,757,1635,760,11935,1477
111264,1/1/2022,0:30:22,0,0,0,0,0,0,0,0
111265,1/1/2022,0:40:00,1978,756,2034,757,1636,758,11924,1478
111266,1/1/2022,0:50:01,1979,756,2034,757,1634,761,11940,1478
111267,1/1/2022,1:00:23,0,0,0,0,0,0,0,0
111268,1/1/2022,1:10:00,1978,756,2033,757,1636,758,11915,1478
111269,1/1/2022,1:20:01,1976,756,2034,757,1638,759,11911,1477
111270,1/1/2022,1:30:22,0,0,0,0,0,0,0,0
111271,1/1/2022,1:40:00,1976,756,2034,757,1637,760,11907,1479
111272,1/1/2022,1:50:00,1978,756,2034,757,1641,760,11914,1479
111273,1/1/2022,2:00:24,0,0,0,0,0,0,0,0
111274,1/1/2022,2:10:05,1977,756,2034,757,1641,758,11913,1479
111275,1/1/2022,2:20:00,1976,756,2034,757,1641,761,11906,1479
111276,1/1/2022,2:30:23,0,0,0,0,0,0,0,0
111277,1/1/2022,2:40:01,1976,756,2033,757,1641,757,11902,1480
111278,1/1/2022,2:50:00,1976,756,2034,757,1642,761,11896,1481
111279,1/1/2022,3:00:22,0,0,0,0,0,0,0,0
111280,1/1/2022,3:20:00,1976,756,2034,759,1646,761,11922,1483
111281,1/1/2022,3:30:23,0,0,0,0,0,0,0,0
111282,1/1/2022,3:40:00,1976,756,2034,757,1646,761,11921,1483
111283,1/1/2022,3:50:09,1976,756,2033,757,1646,759,11930,1480
111284,1/1/2022,4:00:20,0,0,0,0,0,0,0,0
111285,1/1/2022,4:10:04,1978,756,2034,757,1646,760,11913,1479
111286,1/1/2022,4:20:02,1976,756,2034,757,1647,759,11930,1479
111287,1/1/2022,4:30:22,0,0,0,0,0,0,0,0
111288,1/1/2022,4:40:00,1976,752,2034,757,1650,759,11918,1482
111289,1/1/2022,4:50:00,1976,755,2031,757,1650,756,11910,1483
111290,1/1/2022,5:10:00,1976,753,2034,757,1651,758,11891,1483
111291,1/1/2022,5:20:00,1976,754,2034,757,1651,762,11912,1479
111292,1/1/2022,5:30:19,0,0,0,0,0,0,0,0
111293,1/1/2022,5:40:02,1976,755,2034,757,1651,759,11937,1483
111294,1/1/2022,5:50:00,1976,756,2034,757,1652,760,11918,1483
111295,1/1/2022,6:00:21,0,0,0,0,0,0,0,0
111296,1/1/2022,6:10:09,1976,756,2034,757,1652,759,11920,1483
111297,1/1/2022,6:20:01,1976,756,2034,757,1655,757,11890,1483
111298,1/1/2022,6:30:28,0,0,0,0,0,0,0,0
111299,1/1/2022,6:40:03,1976,756,2034,757,1655,759,11912,1488
111300,1/1/2022,6:50:00,1976,754,2031,757,1655,757,11925,1481
111301,1/1/2022,7:10:00,1976,756,2034,757,1655,760,11932,1483
111302,1/1/2022,7:20:00,1976,756,2034,757,1655,757,11898,1483
111303,1/1/2022,7:30:21,0,0,0,0,0,0,0,0
111304,1/1/2022,7:40:01,1976,753,2034,757,1655,760,11924,1469
111305,1/1/2022,7:50:00,1976,752,2034,757,1655,759,11938,1476
111306,1/1/2022,8:10:00,1976,755,2034,757,1654,757,11892,1493
111307,1/1/2022,8:20:00,1976,756,2034,757,1652,756,11893,1479
111308,1/1/2022,8:30:22,0,0,0,0,0,0,0,0
111309,1/1/2022,8:40:05,1977,753,2034,757,1648,757,11928,1470
111310,1/1/2022,8:50:01,1977,756,2034,757,1647,758,11916,1466
111311,1/1/2022,9:00:22,0,0,0,0,0,0,0,0
111312,1/1/2022,9:10:01,1979,754,2034,757,1645,758,11920,1461
111313,1/1/2022,9:20:00,1977,752,2034,757,1642,758,11934,1458
111314,1/1/2022,9:30:18,0,0,0,0,0,0,0,0
111315,1/1/2022,9:40:00,1977,756,2034,757,1636,758,11922,1454
111316,1/1/2022,9:50:01,1977,754,2034,757,1634,760,11940,1449
111317,1/1/2022,10:00:28,0,0,0,0,0,0,0,0
111318,1/1/2022,10:10:01,1979,752,2034,757,1632,758,11938,1452
111319,1/1/2022,10:20:04,1980,752,2034,757,1631,757,11933,1450
111320,1/1/2022,10:30:22,0,0,0,0,0,0,0,0
111321,1/1/2022,10:40:00,0,0,0,0,0,0,0,0
111322,1/1/2022,10:50:00,1980,752,2034,757,1627,761,11941,0
111323,1/1/2022,11:10:01,1980,752,2034,757,1630,758,11938,1449
111324,1/1/2022,11:20:10,1980,753,2034,757,1627,761,11941,0
111325,1/1/2022,11:40:00,1980,752,2034,757,1626,757,11944,1445
111326,1/1/2022,11:50:08,1980,752,2034,757,1626,759,11989,1443
111327,1/1/2022,12:10:04,1980,752,2034,757,1626,757,11943,1444
111328,1/1/2022,12:20:00,1980,753,2034,757,1622,756,11982,1445
